place_id,query,name,state,lon,lat,est,json_url
ChIJz25aehsOdogRQDVNZHOdDQU,winery,Jo-Al Winery,AL,-89.7869132,38.4905586,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAL&region=US
ChIJEzV3030-iYgRccEfSFu1wGA,winery,Cat-n-Bird Winery,AL,-86.6554968,33.3511661,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAL&region=US
ChIJ1capV4VAmogR1Nbh6_X9kYQ,winery,Red Or White Wine Discount Center,AL,-87.9036435,30.52247079999999,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAL&region=US
ChIJASt4Y3HrNogRkJpXxdQc8j8,winery,Al-Bi Winery,AL,-81.20025,40.5573397,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAL&region=US
ChIJqb2Il52XyFYRWJGU4E-9PAw,winery,Alaska Denali Winery,AK,-149.8610208,61.11278339999999,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAK&region=US
ChIJPc033BQtwVYRYQlDhQsAcdw,winery,Bear Creek Winery,AK,-151.455592,59.6698362,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAK&region=US
ChIJj-XZ4PpixlYRCmIVd6TAS6o,winery,Alaska Berries,AK,-151.1938934,60.4881732,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAK&region=US
ChIJcToxXp3G6lYRpbpReJUqgsg,winery,Alaskan Wilderness Wines,AK,-152.3424621,57.81378400000001,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAK&region=US
ChIJzz9wkyhkMlERKRnbwlEDXtA,winery,Solitude Springs Farm & Vineyard,AK,-148.313635,64.9092189,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAK&region=US
ChIJLyGVmSmWyFYR6nWkIPTUEco,winery,Crush Wine Bistro & Cellar,AK,-149.8959214,61.2189408,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAK&region=US
ChIJoVV-lZqZyFYRZYs3wA4nzAo,winery,Wine House At Huffman,AK,-149.8582646,61.10973409999999,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAK&region=US
ChIJJwlln7mXyFYRYJuzGw0QiJI,winery,UnWINED - a boutique wine shoppe,AK,-149.8694071,61.1886371,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAK&region=US
ChIJnxOv8ZBcMlERL96t_MkQRiQ,winery,Ursa Major Distilling,AK,-147.9411809,64.84941119999999,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAK&region=US
ChIJ1VL4Io5cMlERMNFLLmhdA-I,winery,Gold Hill Imported Beers and Fine Wines,AK,-147.9583459,64.846374,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAK&region=US
ChIJ__k_9jXgyFYRfl1NOIADchY,winery,Valley Winery & Brew Supply,AK,-149.2636371,61.598418,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAK&region=US
ChIJ2YBnRpULK4cRDRvQrbyvXAg,winery,Su Vino Winery,AZ,-111.9238845,33.493294,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAZ&region=US
ChIJkdCPj4jB1oYRQ5ZZzOdHKak,winery,Arizona Hops and Vines,AZ,-110.6213401,31.6868609,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAZ&region=US
ChIJRy5oELDB1oYRuWYuMAR9aXU,winery,Dos Cabezas WineWorks,AZ,-110.653524,31.679954,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAZ&region=US
ChIJ9VngJCwQLYcRFkuSgwU9r9g,winery,Chateau Tumbleweed Winery & Tasting Room,AZ,-112.0561652,34.7555597,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAZ&region=US
ChIJ51zAI73C1oYR0zHVrAq-DZ8,winery,Rune Wines,AZ,-110.542217,31.718446,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAZ&region=US
ChIJReyNkLOKy4cRYq1-4SdbTW8,winery,Dionysus Wine & Brew,AR,-93.7579159,35.5041679,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAR&region=US
ChIJmXLEIA91zYcR3aMvZmkpYZg,winery,Movie House Winery,AR,-92.7193128,35.128686,winery,https://maps.googleapis.com/maps/api/place/textsearch/json?key=AIzaSyCKha8eMHL2hgvClp8eklQwjcV6zPSyL1Q&query=winery%2Bin%2BAR&region=US
