,state,est,lat,lon,counter
24,AK,brewery,64.9581303,-147.62139950000002,59
26,AK,distillery,42.8734299,-78.872637,59
58,AK,winery,64.9092189,-148.313635,59
96,AL,brewery,34.8016555,-87.6689679,93
105,AL,distillery,34.749632,-86.70844,93
151,AL,winery,41.09549620000001,-73.44744779999998,93
191,AR,brewery,36.4043595,-93.7385974,73
194,AR,distillery,36.305726,-92.519644,73
224,AR,winery,40.021704,-84.51592500000002,73
269,AZ,brewery,35.218612799999995,-111.58656200000001,109
290,AZ,distillery,35.267682,-113.9428176,109
333,AZ,winery,34.78265,-112.446956,109
392,CA,brewery,39.729298299999996,-121.8395601,138
413,CA,distillery,39.64111380000001,-121.7987094,138
471,CA,winery,39.0958264,-123.48215420000001,138
531,CO,brewery,40.7029414,-105.0081939,123
549,CO,distillery,43.650405,-79.359771,123
594,CO,winery,42.62751859999999,-73.81160059999998,123
643,CT,brewery,41.965835,-72.792988,104
653,CT,distillery,41.905136,-72.20351720000001,104
698,CT,winery,42.0059896,-72.85535569999998,104
720,DC,brewery,40.522718100000006,-105.01174109999998,66
724,DC,distillery,38.963133899999995,-77.009348,66
764,DC,winery,42.4945064,-88.9440776,66
794,DE,brewery,39.7803444,-75.5987944,182
797,DE,brewery,45.4572866,-123.8453827,91
807,DE,distillery,45.2558656,-74.1204676,91
814,DE,winery,33.542633,-117.00927659999998,182
853,DE,winery,45.998943700000005,-118.3672351,91
925,FL,brewery,30.6709224,-81.46377960000002,150
947,FL,distillery,30.841819,-86.43727,150
1003,FL,winery,30.69340799999999,-86.1201088,150
1049,GA,brewery,34.870862,-84.317741,116
1071,GA,distillery,35.498639000000004,-94.256932,116
1119,GA,winery,34.9599694,-83.8830614,116
1136,HI,brewery,44.5648724,-123.2590305,43
1138,HI,distillery,42.973828000000005,-73.86268299999998,43
1162,HI,winery,48.9926295,-119.418752,43
1212,IA,brewery,43.443945899999996,-93.220067,110
1221,IA,distillery,42.487584999999996,-90.6616024,110
1272,IA,winery,43.369386,-95.126749,110
1311,ID,brewery,48.30459270000001,-116.5417076,95
1324,ID,distillery,47.716675,-117.00033090000001,95
1367,ID,winery,48.30533519999999,-116.54348470000001,95
1433,IL,brewery,42.496357399999994,-89.98823309999999,145
1459,IL,distillery,42.4224729,-88.6349288,145
1512,IL,winery,42.492470000000004,-89.03613,145
1529,IN,brewery,41.697311,-86.221797,56
1536,IN,distillery,41.6986735,-86.1880953,56
1568,IN,winery,41.61086299999999,-87.05599769999998,56
1619,KS,brewery,39.204030200000005,-96.6341757,95
1629,KS,distillery,39.5614591,-95.1148975,95
1663,KS,winery,39.2015283,-96.3053814,95
1723,KY,brewery,39.105204799999996,-84.48429469999998,139
1751,KY,distillery,39.0935232,-84.54843699999998,139
1802,KY,winery,39.0879754,-84.52381590000002,139
1859,LA,brewery,48.3917909,-122.4957814,111
1875,LA,distillery,34.0451123,-118.23538529999999,111
1913,LA,winery,43.82458219999999,-91.2888403,111
1960,MA,brewery,42.575767000000006,-71.99713059999998,234
1964,MA,brewery,43.1524376,-75.84624629999998,117
1983,MA,distillery,42.6957445,-70.85516319999998,117
2029,MA,winery,42.8724857,-70.9578901,117
2080,MD,brewery,39.6663778,-76.37197689999998,118
2102,MD,distillery,39.709313,-76.40053890000002,118
2147,MD,winery,42.5678174,-83.8029105,118
2192,ME,brewery,44.79684839999999,-68.7697743,97
2208,ME,distillery,44.825621000000005,-69.11307699999999,97
